"timestamp","payload"
"34756","{""internal_temperature"":{""N"":""31.56999969""},""pressure"":{""N"":""970.1130371""},""external_temperature"":{""N"":""30.8125""},""timestamp"":{""N"":""34756""}}"
"880566","{""internal_temperature"":{""N"":""31.13999939""},""pressure"":{""N"":""973.4123535""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""880566""}}"
"1213033","{""internal_temperature"":{""N"":""31.26000023""},""pressure"":{""N"":""973.3766479""},""external_temperature"":{""N"":""30.875""},""timestamp"":{""N"":""1213033""}}"
"660436","{""internal_temperature"":{""N"":""31.05999947""},""pressure"":{""N"":""973.4343872""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""660436""}}"
"766421","{""internal_temperature"":{""N"":""31.45999908""},""pressure"":{""N"":""973.3179932""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""766421""}}"
"159461","{""internal_temperature"":{""N"":""30.79999924""},""pressure"":{""N"":""973.3936157""},""external_temperature"":{""N"":""30.6875""},""timestamp"":{""N"":""159461""}}"
"249908","{""internal_temperature"":{""N"":""32.25""},""pressure"":{""N"":""973.9534302""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""249908""}}"
"131191","{""internal_temperature"":{""N"":""32.13000107""},""pressure"":{""N"":""974.350769""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""131191""}}"
"376261","{""internal_temperature"":{""N"":""31.47999954""},""pressure"":{""N"":""973.385376""},""external_temperature"":{""N"":""30.25""},""timestamp"":{""N"":""376261""}}"
"204364","{""internal_temperature"":{""N"":""32.25""},""pressure"":{""N"":""973.9810791""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""204364""}}"
"329873","{""internal_temperature"":{""N"":""32.40000153""},""pressure"":{""N"":""974.0999756""},""external_temperature"":{""N"":""31.125""},""timestamp"":{""N"":""329873""}}"
"581884","{""internal_temperature"":{""N"":""32.38999939""},""pressure"":{""N"":""974.0046997""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""581884""}}"
"287861","{""internal_temperature"":{""N"":""32.27000046""},""pressure"":{""N"":""973.9580688""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""287861""}}"
"728752","{""internal_temperature"":{""N"":""31.06999969""},""pressure"":{""N"":""973.4204102""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""728752""}}"
"1112839","{""internal_temperature"":{""N"":""31.20999908""},""pressure"":{""N"":""973.4098511""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""1112839""}}"
"950401","{""internal_temperature"":{""N"":""31.15999985""},""pressure"":{""N"":""973.3886108""},""external_temperature"":{""N"":""30.8125""},""timestamp"":{""N"":""950401""}}"
"479779","{""internal_temperature"":{""N"":""30.97999954""},""pressure"":{""N"":""973.4087524""},""external_temperature"":{""N"":""30.8125""},""timestamp"":{""N"":""479779""}}"
"243338","{""internal_temperature"":{""N"":""32.36999893""},""pressure"":{""N"":""974.1147461""},""external_temperature"":{""N"":""31.1875""},""timestamp"":{""N"":""243338""}}"
"28080","{""internal_temperature"":{""N"":""30.43000031""},""pressure"":{""N"":""973.3894043""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""28080""}}"
"1250985","{""internal_temperature"":{""N"":""31.26000023""},""pressure"":{""N"":""973.3279419""},""external_temperature"":{""N"":""30.8125""},""timestamp"":{""N"":""1250985""}}"
"546575","{""internal_temperature"":{""N"":""31.02000046""},""pressure"":{""N"":""973.4415894""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""546575""}}"
"79486","{""internal_temperature"":{""N"":""32.70999908""},""pressure"":{""N"":""975.163269""},""external_temperature"":{""N"":""31.4375""},""timestamp"":{""N"":""79486""}}"
"383008","{""internal_temperature"":{""N"":""32.40999985""},""pressure"":{""N"":""974.0664673""},""external_temperature"":{""N"":""31.0625""},""timestamp"":{""N"":""383008""}}"
"144856","{""internal_temperature"":{""N"":""32.15000153""},""pressure"":{""N"":""974.3646851""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""144856""}}"
"45946","{""internal_temperature"":{""N"":""30.40999985""},""pressure"":{""N"":""973.3786011""},""external_temperature"":{""N"":""30.1875""},""timestamp"":{""N"":""45946""}}"
"93359","{""internal_temperature"":{""N"":""30.48999977""},""pressure"":{""N"":""973.4492188""},""external_temperature"":{""N"":""30.25""},""timestamp"":{""N"":""93359""}}"
"157119","{""internal_temperature"":{""N"":""30.52000046""},""pressure"":{""N"":""973.4656982""},""external_temperature"":{""N"":""30.375""},""timestamp"":{""N"":""157119""}}"
"105003","{""internal_temperature"":{""N"":""32.29000092""},""pressure"":{""N"":""974.0526733""},""external_temperature"":{""N"":""31.3125""},""timestamp"":{""N"":""105003""}}"
"1096139","{""internal_temperature"":{""N"":""31.21999931""},""pressure"":{""N"":""973.3934326""},""external_temperature"":{""N"":""30.9375""},""timestamp"":{""N"":""1096139""}}"
"683207","{""internal_temperature"":{""N"":""31.06999969""},""pressure"":{""N"":""973.4151611""},""external_temperature"":{""N"":""30.625""},""timestamp"":{""N"":""683207""}}"
"12283","{""internal_temperature"":{""N"":""32.43999863""},""pressure"":{""N"":""971.5289307""},""external_temperature"":{""N"":""33""},""timestamp"":{""N"":""12283""}}"
"120867","{""internal_temperature"":{""N"":""32.27000046""},""pressure"":{""N"":""973.9967041""},""external_temperature"":{""N"":""31.25""},""timestamp"":{""N"":""120867""}}"
"271509","{""internal_temperature"":{""N"":""31.5""},""pressure"":{""N"":""973.4401855""},""external_temperature"":{""N"":""30.125""},""timestamp"":{""N"":""271509""}}"
"267244","{""internal_temperature"":{""N"":""30.87000084""},""pressure"":{""N"":""973.4365845""},""external_temperature"":{""N"":""30.75""},""timestamp"":{""N"":""267244""}}"
"253291","{""internal_temperature"":{""N"":""31.48999977""},""pressure"":{""N"":""973.4378052""},""external_temperature"":{""N"":""30""},""timestamp"":{""N"":""253291""}}"
